red,area,width,density,land,cbd,traffic
2,430,18,0,0,4,1
0,340,21,1,0,4,2
2,500,25,0,0,4,1
0,325,12,2,0,4,2
1,495,21,2,0,4,2
3,1200,30,2,0,3,0
1,250,18,1,0,4,2
2,300,28,2,2,4,2
3,315,24,2,0,4,2
1,308,6,2,0,4,2
1,920,8,0,0,3,0
0,160,11,1,0,1,2
0,364,12,1,0,4,2
0,270,24,2,0,4,2
1,222,15,0,0,4,1
2,540,14,1,0,4,0
0,500,12,2,0,4,2
0,456,8,2,1,4,2
2,430,18,0,0,4,1
2,989,16,0,0,4,0
2,250,12,0,0,4,1
0,560,12,2,0,4,2
0,150,16,2,2,4,2
0,493,8,2,0,4,2
1,210,18,2,0,4,2
0,900,27,2,0,4,2
2,392,14,0,0,4,0
2,550,25,1,0,4,2
2,486,15,0,0,4,1
2,500,20,0,1,4,1
1,378,19,1,2,4,2
1,250,6,2,0,4,2
3,374,18,1,0,4,2
0,700,7,1,0,4,2
1,230,18,0,0,4,1
1,800,10,2,0,3,0
0,350,17,1,0,4,2
2,324,16,2,0,4,2
1,253,18,2,1,4,2
3,336,17,1,0,4,2
0,504,16,2,2,4,2
2,442,15,0,0,4,1
0,525,21,1,0,4,2
0,600,14,2,0,4,2
0,400,21,1,0,4,2
3,540,21,2,0,4,0
1,270,14,2,1,4,2
0,260,14,2,1,4,2
3,1330,35,0,0,4,2
1,1000,10,2,0,3,0
3,544,20,0,0,4,2
2,350,15,0,0,4,1
0,774,18,0,0,4,2
2,260,21,0,0,4,1
0,225,28,0,0,4,2
3,540,21,1,0,4,0
0,270,25,0,0,4,2
0,406,7,1,0,4,2
3,384,18,0,0,4,2
